"Câmara dos Deputados"
"Relatório de Proposições"
"Resultado da Pesquisa"
"Proposições";"Ementa";"Explicação";"Autor";"UF";"Partido";"Apresentação";"Situação";"Link"
"PEC 37/2022 (Fase 1 - CD)";"Altera o art. 144 da Constituição Federal, para incluir as guardas ou polícias municipais e os agentes de trânsito entre os órgãos que compõem a segurança pública.";"";"Senado Federal - Veneziano Vital do Rêgo";"PB";"MDB";"29/05/2025";"Aguardando Despacho do Presidente da Câmara dos Deputados (Chancela)";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2519678"
"PL 1944/2022";"Altera a Lei nº 14.327, de 13 de abril de 2022, que “dispõe sobre requisitos mínimos de segurança para a fabricação, a construção, a instalação e o funcionamento de piscinas ou similares e sobre a responsabilidade em caso de seu descumprimento”, para dispor sobre a prevenção ao afogamento infantil.

";"";"Senado Federal - Eduardo Gomes";"TO";"PL";"05/05/2025";"Aguardando Despacho do Presidente da Câmara dos Deputados (Chancela)";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2503831"
"PL 2083/2022";"Altera a Lei nº 7.210, de 11 de julho de 1984 (Lei de Execução Penal), para estabelecer medidas destinadas a reforçar a proteção da mulher vítima de violência doméstica e familiar, especialmente contra a reiteração de ameaça ou de violência perpetrada por agressores condenados ou submetidos a prisão provisória; e a Lei nº 9.455, de 7 de abril de 1997 (Lei dos Crimes de Tortura), para prever como modalidade de tortura a submissão reiterada da mulher a intenso sofrimento físico ou mental, no contexto de violência doméstica e familiar.";"";"Senado Federal - Soraya Thronick";"MS";"PODEMOS";"07/04/2025";"Aguardando Designação de Relator(a)";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2495726"
"PL 2529/2022";"Altera a Lei nº 13.675, de 11 de junho de 2018, para incluir as informações sobre o combate ao crime organizado no Sistema Nacional de Informações de Segurança Pública, Prisionais, de Rastreabilidade de Armas e Munições, de Material Genético, de Digitais e de Drogas (Sinesp). 

 ";"";"Senado Federal - Guaracy Silveira";"TO";"PP";"09/07/2025";"Aguardando Despacho do Presidente da Câmara dos Deputados (Chancela)";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2534492"
"PL 1103/2022";"Altera a Lei nº 11.326, de 24 de julho de 2006 (Lei da Agricultura Familiar), para incentivar práticas sustentáveis de produção agropecuária.";"";"Senado Federal - Jader Barbalho";"PA";"MDB";"20/02/2025";"Aguardando Designação de Relator(a)";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2485095"
"PEC 11/2022 (Fase 1 - CD)";"Institui o piso salarial nacional do enfermeiro, do técnico de enfermagem, do auxiliar de enfermagem e da parteira.";"";"Senado Federal - Eliziane Gama";"MA";"Cidadania";"07/06/2022";"Transformado em Norma Jurídica";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2326450"
"PEC 27/2022";"Altera o art. 198 da Constituição Federal, para que a União preste assistência financeira complementar aos Estados, ao Distrito Federal, aos Municípios e às Entidades Filantrópicas, para o cumprimento dos pisos salariais profissionais nacionais para o enfermeiro, o técnico de enfermagem, o auxiliar de enfermagem e a parteira; altera o art. 5º da Emenda Constitucional nº 109, de 15 de março de 2021, para estabelecer o superávit financeiros dos fundos públicos do Poder Executivo como fonte de recursos para o cumprimento dos pisos salariais profissionais nacionais para o enfermeiro, o técnico de enfermagem, o auxiliar de enfermagem e a parteira; e dá outras providências.";"";"Mauro Benevides Filho;Carmen Zanotto;Flávia Morais;Paulo Pimenta;Otto Alencar Filho;Tereza Nelma;Bira do Pindaré;André de Paula;Carlos Sampaio;Doutor Luizinho;Orlando Silva;Tito;Alexandre Padilha;Túlio Gadêlha;AJ Albuquerque;Leo de Brito;Felipe Francischini;Efraim Filho;Expedito Netto;José Medeiros;Fernanda Melchionna;Hélio Costa;Áurea Carolina;Talíria Petrone;Hélio Leite;Carlos Henrique Gaguim;Ivan Valente;Celina Leão;Zé Silva;Fábio Henrique;Toninho Wandscheer;Zé Carlos;Glauber Braga;Júnior Mano;Leda Sadala;Afonso Florence;Alencar Santana;Alex Manente;Alexandre Frota;Alexandre Leite;Alice Portugal;Aline Sleutjes;André Figueiredo;André Janones;Angela Amin;Antonio Brito;Arlindo Chinaglia;Átila Lira;Augusto Coutinho;Aureo Ribeiro;Benedita da Silva;Benes Leocádio;Beto Rosado;Bilac Pinto;Bohn Gass;Bozzella;Cacá Leão;Camilo Capiberibe;Capitão Alberto Neto;Capitão Wagner;Carla Dickson;Carlos Chiodini;Carlos Veras;Carlos Zarattini;Célio Silveira;Célio Studart;Celso Maldaner;Charles Fernandes;Coronel Chrisóstomo;Da Vitoria;Dagoberto Nogueira;Daniel Almeida;Daniel Coelho;Daniel Freitas;Daniela do Waguinho;Danilo Cabral;David Soares;Denis Bezerra;Domingos Neto;Dr. Frederico;Dr. Leonardo;Dr. Zacharias Calil;Dulce Miranda;Eduardo Bismarck;Eduardo da Fonte;Elias Vaz;Eliza Virgínia;Emanuel Pinheiro Neto;Emidinho Madeira;Enio Verri;Erika Kokay;Fábio Ramalho;Fausto Pinato;Flaviano Melo;Frei Anastacio Ribeiro;Geovania de Sá;Gervásio Maia;Gonzaga Patriota;Gustavo Fruet;Heitor Freire;Hildo Rocha;Hiran Gonçalves;Hugo Leal;Jandira Feghali;Jaqueline Cassol;Jesus Sérgio;Joenia Wapichana;Jones Moura;Jorge Solla;José Nelto;Joseildo Ramos;Julio Cesar Ribeiro;Júlio Delgado;Lafayette de Andrada;Leandre;Léo Moraes;Leônidas Cristino;Lídice da Mata;Luciano Ducci;Luis Miranda;Luisa Canziani;Luiz Lima;Luiza Erundina;Luizianne Lins;Márcio Jerry;Marcon;Margarete Coelho;Maria do Rosário;Marina Santos;Mário Heringer;Marx Beltrão;Mauro Nazif;Milton Coelho;Natália Bonavides;Ney Leprevost;Nilto Tatto;Norma Ayub;Padre João;Pastor Gil;Pastor Sargento Isidório;Paulinho da Força;Paulo Folletto;Paulo Ramos;Pedro Augusto Bezerra;Pedro Lucas Fernandes;Pedro Paulo;Pedro Uczai;Pedro Westphalen;Perpétua Almeida;Pinheirinho;Pompeo de Mattos;Professor Israel Batista;Professora Dorinha Seabra Rezende;Professora Marcivania;Rafael Motta;Renildo Calheiros;Ricardo Guidi;Ricardo Silva;Robério Monteiro;Rodrigo Coelho;Rogério Peninha Mendonça;Ronaldo Carletto;Rose Modesto;Rubens Bueno;Rubens Pereira Júnior;Ruy Carneiro;Sâmia Bomfim;Sanderson;Sérgio Brito;Silvia Cristina;Soraya Santos;Sóstenes Cavalcante;Subtenente Gonzaga;Tiago Dimas;Vaidon Oliveira;Vicentinho;Vinicius Carvalho;Vinicius Farah;Vivi Reis;Wilson Santiago;Wolney Queiroz;Zé Neto";"CE;SC;GO;RS;BA;AL;MA;PE;SP;RJ;SP;BA;SP;PE;CE;AC;PR;PB;RO;MT;RS;SC;MG;RJ;PA;TO;SP;DF;MG;SE;PR;MA;RJ;CE;AP;BA;SP;SP;SP;SP;BA;PR;CE;MG;SC;BA;SP;PI;PE;RJ;RJ;RN;RN;MG;RS;SP;BA;AP;AM;CE;RN;SC;PE;SP;GO;CE;SC;BA;RO;ES;MS;BA;PE;SC;RJ;PE;SP;CE;CE;MG;MT;GO;TO;CE;PE;GO;PB;MT;MG;PR;DF;MG;SP;AC;PB;SC;PB;PE;PR;CE;MA;RR;RJ;RJ;RO;AC;RR;RJ;BA;GO;BA;DF;MG;MG;PR;RO;CE;BA;PR;DF;PR;RJ;SP;CE;MA;RS;PI;RS;PI;MG;AL;RO;PE;RN;PR;SP;ES;MG;MA;BA;SP;ES;RJ;CE;MA;RJ;SC;RS;AC;MG;RS;DF;TO;AP;RN;PE;SC;SP;CE;SC;SC;BA;MS;PR;MA;PB;SP;RS;BA;RO;RJ;RJ;MG;TO;CE;SP;SP;RJ;PA;PB;PE;BA";"PDT;CIDADANIA;PDT;PT;PSD;PSD;PSB;PSD;PSDB;PP;PCdoB;AVANTE;PT;REDE;PP;PT;UNIÃO;UNIÃO;PSD;PL;PSOL;PSD;PSOL;PSOL;UNIÃO;UNIÃO;PSOL;PP;SOLIDARI;UNIÃO;PROS;PT;PSOL;PL;PP;PT;PT;CIDADANIA;PROS;UNIÃO;PCdoB;PROS;PDT;AVANTE;PP;PSD;PT;PP;REPUBLIC;SOLIDARI;PT;UNIÃO;PP;UNIÃO;PT;UNIÃO;PP;PSB;PL;UNIÃO;UNIÃO;MDB;PT;PT;MDB;PSD;MDB;PSD;PL;PP;PSDB;PCdoB;CIDADANIA;PL;UNIÃO;PSB;UNIÃO;PSB;PSD;PATRIOTA;REPUBLIC;UNIÃO;MDB;PDT;PP;PSB;PP;MDB;PL;PT;PT;MDB;PP;MDB;PT;PSDB;PSB;PSB;PDT;UNIÃO;MDB;PP;PSD;PCdoB;PP;PDT;REDE;PSD;PT;PP;PT;REPUBLIC;PV;REPUBLIC;PSD;PODE;PDT;PSB;PSB;REPUBLIC;PSD;PL;PSOL;PT;PCdoB;PT;PP;PT;REPUBLIC;PDT;PP;PSB;PSB;PT;UNIÃO;PT;PP;PT;PL;AVANTE;SOLIDARI;PSB;PDT;PDT;UNIÃO;PSD;PT;PP;PCdoB;PP;PDT;PSB;UNIÃO;PCdoB;PSB;PCdoB;PSD;PSD;PDT;PODE;MDB;PP;UNIÃO;CIDADANIA;PT;PSC;PSOL;PL;PSD;PL;PL;PL;PSD;PODE;UNIÃO;PT;REPUBLIC;UNIÃO;PSOL;REPUBLIC;PDT;PT";"08/11/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2336964"
"PEC 1/2022 (Fase 1 - CD)";"Inclui o art. 120 no Ato das Disposições Constitucionais Transitórias para reconhecer o estado de emergência decorrente da elevação extraordinária e imprevisível dos preços do petróleo, combustíveis e seus derivados e dos impactos sociais deles decorrentes; autoriza a União a entregar auxílio financeiro aos Estados e ao Distrito Federal que outorgarem créditos tributários do Imposto sobre Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação (ICMS) aos produtores e distribuidores de etanol hidratado; expande o programa auxílio Gás dos Brasileiros, de que trata a Lei nº 14.237, de 19 de novembro de 2021; institui auxílio para caminhoneiros autônomos; expande o Programa Auxílio Brasil, de que trata a Lei nº 14.284, de 29 de dezembro de 2021; e institui auxílio para entes da Federação financiarem a gratuidade do transporte público.

";"";"Senado Federal - Carlos Fávaro";"MT";"PSD";"01/07/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2331114"
"PEC 15/2022 (Fase 1 - CD)";"Altera o art. 225 da Constituição Federal para estabelecer diferencial de competitividade para os biocombustíveis.

NOVA EMENTA: Altera o art. 225 da Constituição Federal para estabelecer diferencial de competitividade para os biocombustíveis; inclui o art. 120 no Ato das Disposições Constitucionais Transitórias para reconhecer o estado de emergência decorrente da elevação extraordinária e imprevisível dos preços do petróleo, combustíveis e seus derivados e dos impactos sociais dela decorrentes; autoriza a União a entregar auxílio financeiro aos Estados e ao Distrito Federal que outorgarem créditos tributários do Imposto sobre Operações relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação (ICMS) aos produtores e distribuidores de etanol hidratado; expande o auxílio Gás dos Brasileiros, de que trata a Lei nº 14.237, de 19 de novembro de 2021; institui auxílio para caminhoneiros autônomos; expande o Programa Auxílio Brasil, de que trata a Lei nº 14.284, de 29 de dezembro de 2021; e institui auxílio para entes da Federação financiarem a gratuidade do transporte público.";"";"Senado Federal - Fernando Bezerra Coelho";"PE";"MDB";"17/06/2022";"Transformado em Norma Jurídica";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2329218"
"PEC 14/2022";"Altera o § 9º do art. 195 da Constituição Federal para reduzir pela metade a alíquota das contribuições sociais de que trata o inciso I quando se tratar de municípios.";"";"Cacá Leão;Ronaldo Carletto;Hiran Gonçalves;Claudio Cajado;Laercio Oliveira;Doutor Luizinho;Pedro Westphalen;Evair Vieira de Melo;Pinheirinho;Christino Aureo;Dimas Fabiano;Eduardo da Fonte;Fernando Monteiro;Professor Alcides;Beto Rosado;Angela Amin;Átila Lins;Margarete Coelho;Paulo Azi;André Fufuca;Mário Negromonte Jr.;Daniel Almeida;Jaqueline Cassol;Adriano do Baldy;Benes Leocádio;Sebastião Oliveira;Covatti Filho;Ricardo Izar;Otto Alencar Filho;Osmar Serraglio;Leur Lomanto Júnior;Fausto Pinato;Neri Geller;André Abdon;Jerônimo Goergen;Charles Fernandes;Nivaldo Albuquerque;João Maia;Danilo Cabral;Luiz Carlos Motta;Lucas Vergilio;Maurício Dziedricki;Silvio Costa Filho;Fred Costa;Milton Vieira;Amaro Neto;Rodrigo de Castro;Gilberto Abramo;Capitão Alberto Neto;Átila Lira;Vavá Martins;Igor Timo;Marcelo Moraes;Eduardo Costa;Celina Leão;Paulinho da Força;Luizão Goulart;José Rocha;Antonio Brito;Alex Manente;Paulo Bengtson;Tito;Lídice da Mata;Wellington Roberto;Jorge Solla;Pedro Lupion;Marcelo Nilo;Professora Dayane Pimentel;Pastor Sargento Isidório;Aline Gurgel;Sérgio Brito;Marreca Filho;Hugo Motta;Celso Maldaner;Ruy Carneiro;Efraim Filho;Bilac Pinto;Wilson Santiago;Leonardo Gadelha;Aguinaldo Ribeiro;Celso Sabino;Júnior Ferrari;Pedro Lucas Fernandes;Fábio Henrique;Marina Santos;Dr. Leonardo;José Nelto;Hélio Leite;Célio Silveira;Robério Monteiro;Rodrigo Coelho;Rogério Peninha Mendonça;João Carlos Bacelar;Márcio Marinho;Bacelar;Uldurico Junior;Elmar Nascimento;João Roma;Felício Laterça;Mauro Lopes;AJ Albuquerque;Adolfo Viana;Cristiano Vale;Igor Kannário;Félix Mendonça Júnior;Abílio Santana;Aluisio Mendes;Dr. Luiz Ovando;João Campos;Paulo Marinho Jr;Waldenor Pereira;Junior Lourenço;Alex Santana;Raimundo Costa;Fabio Schiochet;Gonzaga Patriota;Josivaldo JP;Hélio Costa;Augusto Coutinho;Geninho Zuliani;Júlio Cesar;Rubens Bueno;Luciano Ducci;Merlong Solano;Damião Feliciano;Jefferson Campos;Afonso Florence;Julian Lemos;Newton Cardoso Jr;Alan Rick;Rubens Pereira Júnior;Vermelho;Jhonatan de Jesus;Moses Rodrigues;Luis Miranda;Marlon Santos;Expedito Netto;Marx Beltrão;Luis Tibé;Odair Cunha;Victor Mendes;Pedro Augusto Bezerra;Eli Corrêa Filho;Marcelo Ramos;Wolney Queiroz;Vicentinho Júnior;Chiquinho Brazão;Fábio Mitidieri;Vanderlei Macris;Aelton Freitas;David Soares;Lafayette de Andrada;Euclydes Pettersen;Domingos Neto;Zeca Dirceu;Arnaldo Jardim;Da Vitoria;José Priante;Fernando Rodolfo;Joseildo Ramos;Abou Anni;Coronel Tadeu;Liziane Bayer;Afonso Hamm;Gustavo Fruet;Delegado Antônio Furtado;Dagoberto Nogueira;Valmir Assunção;Alceu Moreira;Nicoletti;Zé Neto";"BA;BA;RR;BA;SE;RJ;RS;ES;MG;RJ;MG;PE;PE;GO;RN;SC;AM;PI;BA;MA;BA;BA;RO;GO;RN;PE;RS;SP;BA;PR;BA;SP;MT;AP;RS;BA;AL;RN;PE;SP;GO;RS;PE;MG;SP;ES;MG;MG;AM;PI;PA;MG;RS;PA;DF;SP;PR;BA;BA;SP;PA;BA;BA;PB;BA;PR;BA;BA;BA;AP;BA;MA;PB;SC;PB;PB;MG;PB;PB;PB;PA;PA;MA;SE;PI;MT;GO;PA;GO;CE;SC;SC;BA;BA;BA;BA;BA;BA;RJ;MG;CE;BA;PA;BA;BA;BA;MA;MS;GO;MA;BA;MA;BA;BA;SC;PE;MA;SC;PE;SP;PI;PR;PR;PI;PB;SP;BA;PB;MG;AC;MA;PR;RR;CE;DF;RS;RO;AL;MG;MG;MA;CE;SP;AM;PE;TO;RJ;SE;SP;MG;SP;MG;MG;CE;PR;SP;ES;PA;PE;BA;SP;SP;RS;RS;PR;RJ;MS;BA;RS;RR;BA";"PP;PP;PP;PP;PP;PP;PP;PP;PP;PP;PP;PP;PP;PL;PP;PP;PSD;PP;UNIÃO;PP;PP;PCdoB;PP;PP;UNIÃO;AVANTE;PP;REPUBLIC;PSD;PP;UNIÃO;PP;PP;PP;PP;PSD;REPUBLIC;PL;PSB;PL;SOLIDARI;PODE;REPUBLIC;PATRIOTA;REPUBLIC;REPUBLIC;UNIÃO;REPUBLIC;PL;PP;REPUBLIC;PODE;PL;PSD;PP;SOLIDARI;SOLIDARI;UNIÃO;PSD;CIDADANIA;PTB;AVANTE;PSB;PL;PT;PP;REPUBLIC;UNIÃO;AVANTE;REPUBLIC;PSD;PATRIOTA;REPUBLIC;MDB;PSC;UNIÃO;UNIÃO;REPUBLIC;PSC;PP;UNIÃO;PSD;UNIÃO;UNIÃO;REPUBLIC;REPUBLIC;PP;UNIÃO;MDB;PDT;PODE;MDB;PL;REPUBLIC;PV;MDB;UNIÃO;PL;PP;PP;PP;PSDB;PP;UNIÃO;PDT;PSC;PSC;PP;REPUBLIC;PL;PT;PL;REPUBLIC;PODE;UNIÃO;PSB;PSD;PSD;REPUBLIC;UNIÃO;PSD;CIDADANIA;PSB;PT;UNIÃO;PL;PT;UNIÃO;MDB;UNIÃO;PT;PL;REPUBLIC;UNIÃO;REPUBLIC;PL;PSD;PP;AVANTE;PT;MDB;PDT;UNIÃO;PSD;PDT;PP;UNIÃO;PSD;PSDB;PP;UNIÃO;REPUBLIC;PSC;PSD;PT;CIDADANIA;PP;MDB;PL;PT;UNIÃO;PL;REPUBLIC;PP;PDT;UNIÃO;PSDB;PT;MDB;UNIÃO;PT";"01/06/2022";"Aguardando Constituição de Comissão Temporária";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2325720"
