"Câmara dos Deputados"
"Relatório de Proposições"
"Resultado da Pesquisa"
"Proposições";"Ementa";"Explicação";"Autor";"UF";"Partido";"Apresentação";"Situação";"Link"
"PEC 66/2023 (Fase 1 - CD)";"Institui limite para o pagamento de precatórios pelos Municípios, abre novo prazo de parcelamento especial de débitos dos Municípios com seus regimes próprios de previdência social e com o Regime Geral de Previdência Social e dá outras providências.";"";"Senado Federal - Jader Barbalho";"PA";"MDB";"22/08/2024";"Aguardando Vistas";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2454495"
"PDL 206/2023";"Susta o Decreto nº 11.515, de 2 de maio de 2023, que revoga o Decreto nº 9.731, de 16 de março de 2019, ambos da Presidência da República.";"";"";"";"";"26/03/2025";"Aguardando Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2490435"
"PLP 48/2023";"Altera a Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), para permitir, na área de educação, a utilização de recursos transferidos em finalidade diversa da pactuada.";"";"Senado Federal - Laércio Oliveira";"SE";"PP";"05/05/2025";"Aguardando Despacho do Presidente da Câmara dos Deputados (Chancela)";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2503872"
"PL 2338/2023";"Dispõe sobre o desenvolvimento, o fomento e o uso ético e responsável da inteligência artificial com base na centralidade da pessoa humana.";"Alteração: Lei nº 11.540, de 12 de novembro de 2007; Lei nº 14.533, de 11 de janeiro de 2023.";"Senado Federal - Rodrigo Pacheco";"MG";"PSD";"17/03/2025";"Aguardando Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2487262"
"PL 5881/2023";"Altera a Lei nº 14.232, de 28 de outubro de 2021, para determinar a publicação periódica de relatórios do Registro Unificado de Dados e Informações sobre Violência contra as Mulheres.

";"";"Senado Federal - Damares Alves";"DF";"REPUBLIC";"07/04/2025";"Aguardando Designação de Relator(a)";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2495101"
"PL 4928/2023";"Altera a Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), para dispor sobre o direito da criança e do adolescente à saúde mental.";"";"Senado Federal - Damares Alves";"DF";"REPUBLIC";"07/04/2025";"Aguardando Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2495111"
"PL 2940/2023";"Altera a Lei nº 12.629, de 11 de maio de 2012, para dispor sobre a criação de comissão de prevenção de tromboembolismo venoso nos hospitais públicos e privados.

";"";"Senado Federal - Daniella Ribeiro";"PB";"PSD";"04/02/2025";"Aguardando Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2482708"
"PL 997/2023";"Dispõe sobre a obrigatoriedade de publicação de mensagem de advertência em peças publicitárias destinadas à comercialização de produtos ou serviços que contenham imagem digitalmente modificada para alterar as características físicas de pessoa retratada.";"";"Senado Federal - Teresa Leitão";"PE";"PT";"20/02/2025";"Aguardando Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2485089"
"PL 2005/2023";"Altera a Lei nº 11.947, de 16 de junho de 2009 (Lei da Alimentação Escolar), para garantir o direito das entidades de representação legal dos trabalhadores rurais de contestar a dispensa da aplicação do percentual mínimo dos recursos do Programa Nacional de Alimentação Escolar (Pnae) destinados à aquisição de alimentos diretamente da agricultura familiar.";"";"Senado Federal - Beto Faro";"PA";"PT";"19/03/2025";"Aguardando Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2488007"
"PL 4989/2023";"Altera a Lei nº 10.184, de 12 de fevereiro de 2001, para priorizar o financiamento da indústria verde, no âmbito do Programa de Financiamento às Exportações (Proex).";"";"Senado Federal - Renan Calheiros";"AL";"MDB";"07/04/2025";"Aguardando Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2495151"
