# Nome	Partido	UF	Período	Telefones	Correio Eletrônico
0 Alan Rick	UNIÃO	AC	2023 - 2031	(61) 3303-6333	sen.alanrick@senado.leg.br
1 Alessandro Vieira	MDB	SE	2019 - 2027	(61) 3303-9011 / 9014 / 9019	sen.alessandrovieira@senado.leg.br
2 Ana Paula Lobato	PDT	MA	2023 - 2031	(61) 3303-2967	sen.anapaulalobato@senado.leg.br
3 Angelo Coronel	PSD	BA	2019 - 2027	(61) 3303-6103 / 6105	sen.angelocoronel@senado.leg.br
4 Astronauta Marcos Pontes	PL	SP	2023 - 2031	(61) 3303-1177 / 1797	sen.astronautamarcospontes@senado.leg.br
5 Augusta Brito	PT	CE	2023 - 2031	(61) 3303-5940	sen.augustabrito@senado.leg.br
6 Beto Faro	PT	PA	2023 - 2031	(61) 3303-5220	sen.betofaro@senado.leg.br
7 Carlos Portinho	PL	RJ	2019 - 2027	(61) 3303-6640 / 6613	sen.carlosportinho@senado.leg.br
8 Carlos Viana	PODEMOS	MG	2019 - 2027	(61) 3303-3100 / 3116	sen.carlosviana@senado.leg.br
9 Chico Rodrigues	PSB	RR	2019 - 2027	(61) 3303-2281	sen.chicorodrigues@senado.leg.br
10 Cid Gomes	PSB	CE	2019 - 2027	(61) 3303-6460 / 6399	sen.cidgomes@senado.leg.br
11 Ciro Nogueira	PP	PI	2019 - 2027	(61) 3303-6187 / 6188 / 6183	sen.cironogueira@senado.leg.br
12 Cleitinho	REPUBLICANOS	MG	2023 - 2031	(61) 3303-3811	sen.cleitinho@senado.leg.br
13 Confúcio Moura	MDB	RO	2019 - 2027	(61) 3303-2470 / 2163	sen.confuciomoura@senado.leg.br
14 Damares Alves	REPUBLICANOS	DF	2023 - 2031	(61) 3303-3265	sen.damaresalves@senado.leg.br
15 Daniella Ribeiro	PP	PB	2019 - 2027	(61) 3303-6788 / 6790	sen.daniellaribeiro@senado.leg.br
16 Davi Alcolumbre	UNIÃO	AP	2023 - 2031	(61) 3303-6717 / 6720	sen.davialcolumbre@senado.leg.br
17 Dr. Hiran	PP	RR	2023 - 2031	(61) 3303-6251	sen.drhiran@senado.leg.br
18 Dra. Eudócia	PL	AL	2019 - 2027	(61) 3303-6083	sen.draeudocia@senado.leg.br
19 Eduardo Braga	MDB	AM	2019 - 2027	(61) 3303-6230	sen.eduardobraga@senado.leg.br
20 Eduardo Girão	NOVO	CE	2019 - 2027	(61) 3303-6677 / 6678 / 6679	sen.eduardogirao@senado.leg.br
21 Eduardo Gomes	PL	TO	2019 - 2027	(61) 3303-6349 / 6352	sen.eduardogomes@senado.leg.br
22 Efraim Filho	UNIÃO	PB	2023 - 2031	(61) 3303-5934 / 5931	sen.efraimfilho@senado.leg.br
23 Eliziane Gama	PSD	MA	2019 - 2027	(61) 3303-6741	sen.elizianegama@senado.leg.br
24 Esperidião Amin	PP	SC	2019 - 2027	(61) 3303-6446 / 6447 / 6454	sen.esperidiaoamin@senado.leg.br
25 Fabiano Contarato	PT	ES	2019 - 2027	(61) 3303-9054 / 6743	sen.fabianocontarato@senado.leg.br
26 Fernando Dueire	MDB	PE	2019 - 2027	(61) 3303-3522	sen.fernandodueire@senado.leg.br
